date,description,amount,type,category,source,month,year
2024-01-01,Opening Balance,1973.0,Credit,Initial,fake_checking_account,2024-01,2024
2024-01-01,Rent Payment – Property Mgmt,-2331.4,Debit,Housing,fake_checking_account,2024-01,2024
2024-01-05,ACH Credit ACME CORP – PAYROLL,3350.28,Credit,Payroll,fake_checking_account,2024-01,2024
2024-01-08,Comcast Internet Service,-89.2,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-08,Starbucks Store,-7.86,Debit,Food & Drink,fake_checking_account,2024-01,2024
2024-01-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-01,2024
2024-01-13,AT&T Wireless Payment,-98.27,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-01,2024
2024-01-19,ACH Credit ACME CORP – PAYROLL,3254.05,Credit,Payroll,fake_checking_account,2024-01,2024
2024-01-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-21,Citibank Card Payment,-13.13,Debit,Credit Card Payment,fake_checking_account,2024-01,2024
2024-01-23,Electric Company Bill,-155.22,Debit,Utilities,fake_checking_account,2024-01,2024
2024-02-01,Rent Payment – Property Mgmt,-2384.21,Debit,Housing,fake_checking_account,2024-02,2024
2024-02-02,ACH Credit ACME CORP – PAYROLL,3449.72,Credit,Payroll,fake_checking_account,2024-02,2024
2024-02-02,Target Store,-96.29,Debit,Shopping,fake_checking_account,2024-02,2024
2024-02-08,Citibank Card Payment,-115.73,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-08,Comcast Internet Service,-76.24,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-02,2024
2024-02-13,AT&T Wireless Payment,-93.41,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-14,Amazon Marketplace,-90.83,Debit,Shopping,fake_checking_account,2024-02,2024
2024-02-16,ACH Credit ACME CORP – PAYROLL,3235.05,Credit,Payroll,fake_checking_account,2024-02,2024
2024-02-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-02,2024
2024-02-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-21,Chase Sapphire Payment,-362.96,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-23,Electric Company Bill,-146.25,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-24,Citibank Card Payment,-85.29,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-25,Citibank Card Payment,-60.74,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-25,DoorDash,-24.39,Debit,Food & Drink,fake_checking_account,2024-02,2024
2024-02-29,Target Store,-74.88,Debit,Shopping,fake_checking_account,2024-02,2024
2024-03-01,ACH Credit ACME CORP – PAYROLL,3378.31,Credit,Payroll,fake_checking_account,2024-03,2024
2024-03-01,Rent Payment – Property Mgmt,-2298.09,Debit,Housing,fake_checking_account,2024-03,2024
2024-03-07,Citibank Card Payment,-68.95,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-08,Comcast Internet Service,-85.38,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-03,2024
2024-03-13,AT&T Wireless Payment,-92.71,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-15,ACH Credit ACME CORP – PAYROLL,3239.1,Credit,Payroll,fake_checking_account,2024-03,2024
2024-03-15,CVS Pharmacy,-22.61,Debit,Health,fake_checking_account,2024-03,2024
2024-03-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-03,2024
2024-03-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-20,Citibank Card Payment,-22.9,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-20,DoorDash,-54.16,Debit,Food & Drink,fake_checking_account,2024-03,2024
2024-03-21,Chase Sapphire Payment,-825.43,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-22,Citibank Card Payment,-37.99,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-23,Electric Company Bill,-83.53,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-29,ACH Credit ACME CORP – PAYROLL,3481.5,Credit,Payroll,fake_checking_account,2024-03,2024
2024-04-01,Rent Payment – Property Mgmt,-2314.99,Debit,Housing,fake_checking_account,2024-04,2024
2024-04-05,Citibank Card Payment,-28.94,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-08,Comcast Internet Service,-90.51,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-11,Target Store,-75.41,Debit,Shopping,fake_checking_account,2024-04,2024
2024-04-12,ACH Credit ACME CORP – PAYROLL,3115.77,Credit,Payroll,fake_checking_account,2024-04,2024
2024-04-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-04,2024
2024-04-13,AT&T Wireless Payment,-102.23,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-04,2024
2024-04-17,CVS Pharmacy,-27.4,Debit,Health,fake_checking_account,2024-04,2024
2024-04-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-21,Chase Sapphire Payment,-787.38,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-21,Citibank Card Payment,-25.54,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-23,Electric Company Bill,-123.13,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-24,Citibank Card Payment,-42.75,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-26,ACH Credit ACME CORP – PAYROLL,3425.25,Credit,Payroll,fake_checking_account,2024-04,2024
2024-04-27,Target Store,-111.11,Debit,Shopping,fake_checking_account,2024-04,2024
2024-05-01,Rent Payment – Property Mgmt,-2380.44,Debit,Housing,fake_checking_account,2024-05,2024
2024-05-06,Trader Joe’s,-71.09,Debit,Groceries,fake_checking_account,2024-05,2024
2024-05-08,Comcast Internet Service,-68.74,Debit,Utilities,fake_checking_account,2024-05,2024
2024-05-09,Citibank Card Payment,-107.99,Debit,Credit Card Payment,fake_checking_account,2024-05,2024
2024-05-10,ACH Credit ACME CORP – PAYROLL,3239.82,Credit,Payroll,fake_checking_account,2024-05,2024
2024-05-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-05,2024
2024-05-13,AT&T Wireless Payment,-104.2,Debit,Utilities,fake_checking_account,2024-05,2024
2024-05-13,Amazon Marketplace,-104.04,Debit,Shopping,fake_checking_account,2024-05,2024
2024-05-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-05,2024
2024-05-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-05,2024
2024-05-21,Chase Sapphire Payment,-812.72,Debit,Credit Card Payment,fake_checking_account,2024-05,2024
2024-05-23,Electric Company Bill,-128.19,Debit,Utilities,fake_checking_account,2024-05,2024
2024-05-24,ACH Credit ACME CORP – PAYROLL,3531.1,Credit,Payroll,fake_checking_account,2024-05,2024
2024-05-24,Citibank Card Payment,-68.61,Debit,Credit Card Payment,fake_checking_account,2024-05,2024
2024-06-01,Rent Payment – Property Mgmt,-2265.88,Debit,Housing,fake_checking_account,2024-06,2024
2024-06-05,Amazon Marketplace,-93.83,Debit,Shopping,fake_checking_account,2024-06,2024
2024-06-06,Citibank Card Payment,-68.62,Debit,Credit Card Payment,fake_checking_account,2024-06,2024
2024-06-07,ACH Credit ACME CORP – PAYROLL,3158.83,Credit,Payroll,fake_checking_account,2024-06,2024
2024-06-08,Citibank Card Payment,-50.5,Debit,Credit Card Payment,fake_checking_account,2024-06,2024
2024-06-08,Comcast Internet Service,-78.74,Debit,Utilities,fake_checking_account,2024-06,2024
2024-06-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-06,2024
2024-06-13,AT&T Wireless Payment,-100.19,Debit,Utilities,fake_checking_account,2024-06,2024
2024-06-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-06,2024
2024-06-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-06,2024
2024-06-21,ACH Credit ACME CORP – PAYROLL,3494.13,Credit,Payroll,fake_checking_account,2024-06,2024
2024-06-21,Chase Sapphire Payment,-1353.6,Debit,Credit Card Payment,fake_checking_account,2024-06,2024
2024-06-23,Citibank Card Payment,-65.62,Debit,Credit Card Payment,fake_checking_account,2024-06,2024
2024-06-23,Electric Company Bill,-143.99,Debit,Utilities,fake_checking_account,2024-06,2024
2024-07-01,Amazon Marketplace,-108.66,Debit,Shopping,fake_checking_account,2024-07,2024
2024-07-01,Rent Payment – Property Mgmt,-2284.31,Debit,Housing,fake_checking_account,2024-07,2024
2024-07-05,ACH Credit ACME CORP – PAYROLL,3382.73,Credit,Payroll,fake_checking_account,2024-07,2024
2024-07-05,Citibank Card Payment,-26.75,Debit,Credit Card Payment,fake_checking_account,2024-07,2024
2024-07-06,Citibank Card Payment,-33.36,Debit,Credit Card Payment,fake_checking_account,2024-07,2024
2024-07-08,Comcast Internet Service,-72.2,Debit,Utilities,fake_checking_account,2024-07,2024
2024-07-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-07,2024
2024-07-13,AT&T Wireless Payment,-96.34,Debit,Utilities,fake_checking_account,2024-07,2024
2024-07-13,Amazon Marketplace,-84.13,Debit,Shopping,fake_checking_account,2024-07,2024
2024-07-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-07,2024
2024-07-19,ACH Credit ACME CORP – PAYROLL,3343.66,Credit,Payroll,fake_checking_account,2024-07,2024
2024-07-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-07,2024
2024-07-20,Citibank Card Payment,-189.88,Debit,Credit Card Payment,fake_checking_account,2024-07,2024
2024-07-21,Chase Sapphire Payment,-321.23,Debit,Credit Card Payment,fake_checking_account,2024-07,2024
2024-07-23,Electric Company Bill,-162.97,Debit,Utilities,fake_checking_account,2024-07,2024
2024-07-23,Target Store,-56.08,Debit,Shopping,fake_checking_account,2024-07,2024
2024-08-01,Rent Payment – Property Mgmt,-2275.46,Debit,Housing,fake_checking_account,2024-08,2024
2024-08-02,ACH Credit ACME CORP – PAYROLL,3370.55,Credit,Payroll,fake_checking_account,2024-08,2024
2024-08-06,Citibank Card Payment,-18.0,Debit,Credit Card Payment,fake_checking_account,2024-08,2024
2024-08-08,Comcast Internet Service,-84.03,Debit,Utilities,fake_checking_account,2024-08,2024
2024-08-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-08,2024
2024-08-13,AT&T Wireless Payment,-90.59,Debit,Utilities,fake_checking_account,2024-08,2024
2024-08-16,ACH Credit ACME CORP – PAYROLL,3440.75,Credit,Payroll,fake_checking_account,2024-08,2024
2024-08-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-08,2024
2024-08-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-08,2024
2024-08-21,Chase Sapphire Payment,-429.6,Debit,Credit Card Payment,fake_checking_account,2024-08,2024
2024-08-22,Citibank Card Payment,-90.94,Debit,Credit Card Payment,fake_checking_account,2024-08,2024
2024-08-23,Electric Company Bill,-196.75,Debit,Utilities,fake_checking_account,2024-08,2024
2024-08-30,ACH Credit ACME CORP – PAYROLL,2972.58,Credit,Payroll,fake_checking_account,2024-08,2024
