date,description,amount,type,category,source,month,year
2024-01-01,CARD SERVICE FEE,-10.94,Fee,Fees,fake_creditcard_1,2024-01,2024
2024-01-05,SQ *THE BOUNCE PLACE,-28.96,Sale,Entertainment,fake_creditcard_1,2024-01,2024
2024-01-09,SQ *LA TAQUERIA,-8.29,Sale,Food & Drink,fake_creditcard_1,2024-01,2024
2024-01-17,TRADER JOE'S #862,-67.67,Sale,Groceries,fake_creditcard_1,2024-01,2024
2024-01-21,REI RETURN,96.46,Refund,Shopping,fake_creditcard_1,2024-01,2024
2024-01-24,BARNES & NOBLE,-35.57,Sale,Shopping,fake_creditcard_1,2024-01,2024
2024-01-25,MUSEUM,-19.89,Sale,Entertainment,fake_creditcard_1,2024-01,2024
2024-01-25,STARBUCKS,-7.34,Sale,Food & Drink,fake_creditcard_1,2024-01,2024
2024-01-31,UNITED AIRLINES,-270.95,Sale,Travel,fake_creditcard_1,2024-01,2024
2024-02-05,AMAZON.COM ORDER 926367,-72.86,Sale,Shopping,fake_creditcard_1,2024-02,2024
2024-02-07,UNITED AIRLINES,-324.6,Sale,Travel,fake_creditcard_1,2024-02,2024
2024-02-07,WHOLE FOODS MARKET #239,-66.0,Sale,Groceries,fake_creditcard_1,2024-02,2024
2024-02-10,CONCERT VENUE,-110.94,Sale,Entertainment,fake_creditcard_1,2024-02,2024
2024-02-10,SWEETGREEN,-22.34,Sale,Food & Drink,fake_creditcard_1,2024-02,2024
2024-02-13,LULULEMON,-174.69,Sale,Shopping,fake_creditcard_1,2024-02,2024
2024-02-24,APPLE.COM/BILL,-9.41,Sale,Subscriptions,fake_creditcard_1,2024-02,2024
2024-02-25,GOOGLE *YOUTUBE,-14.99,Sale,Subscriptions,fake_creditcard_1,2024-02,2024
2024-02-28,NIKE.COM,-83.02,Sale,Shopping,fake_creditcard_1,2024-02,2024
2024-02-29,REI RETURN,53.42,Refund,Shopping,fake_creditcard_1,2024-02,2024
2024-03-02,SQ *LA TAQUERIA,-11.81,Sale,Food & Drink,fake_creditcard_1,2024-03,2024
2024-03-02,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2024-03,2024
2024-03-03,CVS/PHARMACY,-27.58,Sale,Health,fake_creditcard_1,2024-03,2024
2024-03-03,NIKE.COM,-85.39,Sale,Shopping,fake_creditcard_1,2024-03,2024
2024-03-05,CVS/PHARMACY,-29.57,Sale,Health,fake_creditcard_1,2024-03,2024
2024-03-08,AMC THEATRES,-33.78,Sale,Entertainment,fake_creditcard_1,2024-03,2024
2024-03-11,INSTACART,-103.22,Sale,Groceries,fake_creditcard_1,2024-03,2024
2024-03-17,REI,-98.19,Sale,Shopping,fake_creditcard_1,2024-03,2024
2024-03-21,SQ *THE BOUNCE PLACE,-29.96,Sale,Entertainment,fake_creditcard_1,2024-03,2024
2024-03-21,SWEETGREEN,-21.38,Sale,Food & Drink,fake_creditcard_1,2024-03,2024
2024-03-23,INSTACART,-94.88,Sale,Groceries,fake_creditcard_1,2024-03,2024
2024-03-23,GOOGLE *YOUTUBE,-18.63,Sale,Subscriptions,fake_creditcard_1,2024-03,2024
2024-03-26,UNITED AIRLINES,-177.61,Sale,Travel,fake_creditcard_1,2024-03,2024
2024-03-27,UBER TRIP,-19.52,Sale,Travel,fake_creditcard_1,2024-03,2024
2024-03-31,BALSMIQ,-14.24,Sale,Shopping,fake_creditcard_1,2024-03,2024
2024-03-31,CARD SERVICE FEE,-5.63,Fee,Fees,fake_creditcard_1,2024-03,2024
2024-04-03,STARBUCKS,-6.47,Sale,Food & Drink,fake_creditcard_1,2024-04,2024
2024-04-06,WHOLE FOODS MARKET #680,-79.24,Sale,Groceries,fake_creditcard_1,2024-04,2024
2024-04-08,SQ *LA TAQUERIA,-11.89,Sale,Food & Drink,fake_creditcard_1,2024-04,2024
2024-04-11,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-04,2024
2024-04-13,APPLE.COM/BILL,-12.31,Sale,Subscriptions,fake_creditcard_1,2024-04,2024
2024-04-13,WHOLE FOODS MARKET #740,-58.61,Sale,Groceries,fake_creditcard_1,2024-04,2024
2024-04-15,BARNES & NOBLE,-17.37,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-17,CVS/PHARMACY,-29.32,Sale,Health,fake_creditcard_1,2024-04,2024
2024-04-17,HOTEL,-242.72,Sale,Travel,fake_creditcard_1,2024-04,2024
2024-04-19,MUSEUM,-54.66,Sale,Entertainment,fake_creditcard_1,2024-04,2024
2024-04-21,AMAZON.COM ORDER 415198,-73.77,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-24,NIKE.COM,-128.1,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-25,LULULEMON,-127.92,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-27,DOORDASH RETURN,40.65,Refund,Food & Drink,fake_creditcard_1,2024-04,2024
2024-05-01,REI,-93.33,Sale,Shopping,fake_creditcard_1,2024-05,2024
2024-05-04,AIRBNB,-278.79,Sale,Travel,fake_creditcard_1,2024-05,2024
2024-05-04,INSTACART,-64.03,Sale,Groceries,fake_creditcard_1,2024-05,2024
