Account Number,Post Date,Check,Description,Debit,Credit,Category,Status,Balance
*****1234,01/01/2024,,Opening Balance,,1973.00,Initial,Posted,1973.00
*****1234,01/01/2024,,Rent Payment – Property Mgmt,2331.40,,Housing,Posted,-358.40
*****1234,01/05/2024,,ACH Credit ACME CORP – PAYROLL,,3350.28,Payroll,Posted,2991.87
*****1234,01/08/2024,,Comcast Internet Service,89.20,,Utilities,Posted,2902.67
*****1234,01/08/2024,,Starbucks Store,7.86,,Food & Drink,Posted,2894.81
*****1234,01/12/2024,,ACH Debit Netflix Subscription,15.99,,Entertainment,Posted,2878.82
*****1234,01/13/2024,,AT&T Wireless Payment,98.27,,Utilities,Posted,2780.56
*****1234,01/17/2024,,ACH Debit Spotify,10.99,,Entertainment,Posted,2769.57
*****1234,01/19/2024,,ACH Credit ACME CORP – PAYROLL,,3254.05,Payroll,Posted,6023.62
*****1234,01/19/2024,,Apple iCloud Storage,2.99,,Utilities,Posted,6020.63
*****1234,01/21/2024,,Citibank Card Payment,13.13,,Credit Card Payment,Posted,6007.50
*****1234,01/23/2024,,Electric Company Bill,155.22,,Utilities,Posted,5852.28
*****1234,02/01/2024,,Rent Payment – Property Mgmt,2384.21,,Housing,Posted,3468.07
*****1234,02/02/2024,,ACH Credit ACME CORP – PAYROLL,,3449.72,Payroll,Posted,6917.79
*****1234,02/02/2024,,Target Store,96.29,,Shopping,Posted,6821.50
*****1234,02/08/2024,,Citibank Card Payment,115.73,,Credit Card Payment,Posted,6705.77
*****1234,02/08/2024,,Comcast Internet Service,76.24,,Utilities,Posted,6629.54
*****1234,02/12/2024,,ACH Debit Netflix Subscription,15.99,,Entertainment,Posted,6613.55
*****1234,02/13/2024,,AT&T Wireless Payment,93.41,,Utilities,Posted,6520.14
*****1234,02/14/2024,,Amazon Marketplace,90.83,,Shopping,Posted,6429.31
*****1234,02/16/2024,,ACH Credit ACME CORP – PAYROLL,,3235.05,Payroll,Posted,9664.35
*****1234,02/17/2024,,ACH Debit Spotify,10.99,,Entertainment,Posted,9653.36
*****1234,02/19/2024,,Apple iCloud Storage,2.99,,Utilities,Posted,9650.37
*****1234,02/21/2024,,Chase Sapphire Payment,362.96,,Credit Card Payment,Posted,9287.41
*****1234,02/23/2024,,Electric Company Bill,146.25,,Utilities,Posted,9141.16
*****1234,02/24/2024,,Citibank Card Payment,85.29,,Credit Card Payment,Posted,9055.87
*****1234,02/25/2024,,Citibank Card Payment,60.74,,Credit Card Payment,Posted,8995.13
*****1234,02/25/2024,,DoorDash,24.39,,Food & Drink,Posted,8970.74
*****1234,02/29/2024,,Target Store,74.88,,Shopping,Posted,8895.86
*****1234,03/01/2024,,ACH Credit ACME CORP – PAYROLL,,3378.31,Payroll,Posted,12274.17
*****1234,03/01/2024,,Rent Payment – Property Mgmt,2298.09,,Housing,Posted,9976.08
*****1234,03/07/2024,,Citibank Card Payment,68.95,,Credit Card Payment,Posted,9907.13
*****1234,03/08/2024,,Comcast Internet Service,85.38,,Utilities,Posted,9821.75
*****1234,03/12/2024,,ACH Debit Netflix Subscription,15.99,,Entertainment,Posted,9805.76
*****1234,03/13/2024,,AT&T Wireless Payment,92.71,,Utilities,Posted,9713.05
*****1234,03/15/2024,,ACH Credit ACME CORP – PAYROLL,,3239.10,Payroll,Posted,12952.15
*****1234,03/15/2024,,CVS Pharmacy,22.61,,Health,Posted,12929.54
