date,description,amount,type,category,source,month,year
2024-01-01,Opening Balance,1973.0,Credit,Initial,fake_checking_account,2024-01,2024
2024-01-01,CARD SERVICE FEE,-10.94,Fee,Fees,fake_creditcard_1,2024-01,2024
2024-01-01,Rent Payment – Property Mgmt,-2331.4,Debit,Housing,fake_checking_account,2024-01,2024
2024-01-05,ACH Credit ACME CORP – PAYROLL,3350.28,Credit,Payroll,fake_checking_account,2024-01,2024
2024-01-05,SQ *THE BOUNCE PLACE,-28.96,Sale,Entertainment,fake_creditcard_1,2024-01,2024
2024-01-08,Comcast Internet Service,-89.2,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-08,Starbucks Store,-7.86,Debit,Food & Drink,fake_checking_account,2024-01,2024
2024-01-09,SQ *LA TAQUERIA,-8.29,Sale,Food & Drink,fake_creditcard_1,2024-01,2024
2024-01-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-01,2024
2024-01-13,AT&T Wireless Payment,-98.27,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-15,CITY PARKING METER,-13.13,Debit,Transportation,fake_creditcard2,2024-01,2024
2024-01-17,TRADER JOE'S #862,-67.67,Sale,Groceries,fake_creditcard_1,2024-01,2024
2024-01-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-01,2024
2024-01-19,ACH Credit ACME CORP – PAYROLL,3254.05,Credit,Payroll,fake_checking_account,2024-01,2024
2024-01-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-21,Citibank Card Payment,-13.13,Debit,Credit Card Payment,fake_checking_account,2024-01,2024
2024-01-21,REI RETURN,96.46,Refund,Shopping,fake_creditcard_1,2024-01,2024
2024-01-22,ATT*BILL PAYMENT 800-288-2020 TX,-86.68,Debit,Services,fake_creditcard2,2024-01,2024
2024-01-23,Electric Company Bill,-155.22,Debit,Utilities,fake_checking_account,2024-01,2024
2024-01-24,BARNES & NOBLE,-35.57,Sale,Shopping,fake_creditcard_1,2024-01,2024
2024-01-25,MUSEUM,-19.89,Sale,Entertainment,fake_creditcard_1,2024-01,2024
2024-01-25,STARBUCKS,-7.34,Sale,Food & Drink,fake_creditcard_1,2024-01,2024
2024-01-29,COSTCO GAS #0422,-29.05,Debit,Vehicle Services,fake_creditcard2,2024-01,2024
2024-01-31,UNITED AIRLINES,-270.95,Sale,Travel,fake_creditcard_1,2024-01,2024
2024-02-01,Rent Payment – Property Mgmt,-2384.21,Debit,Housing,fake_checking_account,2024-02,2024
2024-02-02,Target Store,-96.29,Debit,Shopping,fake_checking_account,2024-02,2024
2024-02-02,ACH Credit ACME CORP – PAYROLL,3449.72,Credit,Payroll,fake_checking_account,2024-02,2024
2024-02-05,AMAZON.COM ORDER 926367,-72.86,Sale,Shopping,fake_creditcard_1,2024-02,2024
2024-02-05,ATT*BILL PAYMENT 800-288-2020 TX,-98.48,Debit,Services,fake_creditcard2,2024-02,2024
2024-02-07,UNITED AIRLINES,-324.6,Sale,Travel,fake_creditcard_1,2024-02,2024
2024-02-07,WHOLE FOODS MARKET #239,-66.0,Sale,Groceries,fake_creditcard_1,2024-02,2024
2024-02-08,Citibank Card Payment,-115.73,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-08,Comcast Internet Service,-76.24,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-10,SWEETGREEN,-22.34,Sale,Food & Drink,fake_creditcard_1,2024-02,2024
2024-02-10,CONCERT VENUE,-110.94,Sale,Entertainment,fake_creditcard_1,2024-02,2024
2024-02-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-02,2024
2024-02-12,COSTCO GAS #0422,-47.55,Debit,Vehicle Services,fake_creditcard2,2024-02,2024
2024-02-13,LULULEMON,-174.69,Sale,Shopping,fake_creditcard_1,2024-02,2024
2024-02-13,AT&T Wireless Payment,-93.41,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-14,Amazon Marketplace,-90.83,Debit,Shopping,fake_checking_account,2024-02,2024
2024-02-16,ACH Credit ACME CORP – PAYROLL,3235.05,Credit,Payroll,fake_checking_account,2024-02,2024
2024-02-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-02,2024
2024-02-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-19,COSTCO GAS #0422,-56.33,Debit,Vehicle Services,fake_creditcard2,2024-02,2024
2024-02-21,Chase Sapphire Payment,-362.96,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-23,Electric Company Bill,-146.25,Debit,Utilities,fake_checking_account,2024-02,2024
2024-02-24,Citibank Card Payment,-85.29,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-24,APPLE.COM/BILL,-9.41,Sale,Subscriptions,fake_creditcard_1,2024-02,2024
2024-02-25,DoorDash,-24.39,Debit,Food & Drink,fake_checking_account,2024-02,2024
2024-02-25,GOOGLE *YOUTUBE,-14.99,Sale,Subscriptions,fake_creditcard_1,2024-02,2024
2024-02-25,Citibank Card Payment,-60.74,Debit,Credit Card Payment,fake_checking_account,2024-02,2024
2024-02-26,CITY PARKING METER,-12.62,Debit,Transportation,fake_creditcard2,2024-02,2024
2024-02-28,NIKE.COM,-83.02,Sale,Shopping,fake_creditcard_1,2024-02,2024
2024-02-29,REI RETURN,53.42,Refund,Shopping,fake_creditcard_1,2024-02,2024
2024-02-29,Target Store,-74.88,Debit,Shopping,fake_checking_account,2024-02,2024
2024-03-01,ACH Credit ACME CORP – PAYROLL,3378.31,Credit,Payroll,fake_checking_account,2024-03,2024
2024-03-01,Rent Payment – Property Mgmt,-2298.09,Debit,Housing,fake_checking_account,2024-03,2024
2024-03-02,SQ *LA TAQUERIA,-11.81,Sale,Food & Drink,fake_creditcard_1,2024-03,2024
2024-03-02,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2024-03,2024
2024-03-03,CVS/PHARMACY,-27.58,Sale,Health,fake_creditcard_1,2024-03,2024
2024-03-03,NIKE.COM,-85.39,Sale,Shopping,fake_creditcard_1,2024-03,2024
2024-03-05,CVS/PHARMACY,-29.57,Sale,Health,fake_creditcard_1,2024-03,2024
2024-03-07,Citibank Card Payment,-68.95,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-08,Comcast Internet Service,-85.38,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-08,AMC THEATRES,-33.78,Sale,Entertainment,fake_creditcard_1,2024-03,2024
2024-03-11,COSTCO GAS #0422,-53.36,Debit,Vehicle Services,fake_creditcard2,2024-03,2024
2024-03-11,INSTACART,-103.22,Sale,Groceries,fake_creditcard_1,2024-03,2024
2024-03-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-03,2024
2024-03-13,AT&T Wireless Payment,-92.71,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-15,CVS Pharmacy,-22.61,Debit,Health,fake_checking_account,2024-03,2024
2024-03-15,ACH Credit ACME CORP – PAYROLL,3239.1,Credit,Payroll,fake_checking_account,2024-03,2024
2024-03-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-03,2024
2024-03-17,REI,-98.19,Sale,Shopping,fake_creditcard_1,2024-03,2024
2024-03-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-20,DoorDash,-54.16,Debit,Food & Drink,fake_checking_account,2024-03,2024
2024-03-20,Citibank Card Payment,-22.9,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-21,Chase Sapphire Payment,-825.43,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-21,SQ *THE BOUNCE PLACE,-29.96,Sale,Entertainment,fake_creditcard_1,2024-03,2024
2024-03-21,SWEETGREEN,-21.38,Sale,Food & Drink,fake_creditcard_1,2024-03,2024
2024-03-22,Citibank Card Payment,-37.99,Debit,Credit Card Payment,fake_checking_account,2024-03,2024
2024-03-23,Electric Company Bill,-83.53,Debit,Utilities,fake_checking_account,2024-03,2024
2024-03-23,GOOGLE *YOUTUBE,-18.63,Sale,Subscriptions,fake_creditcard_1,2024-03,2024
2024-03-23,INSTACART,-94.88,Sale,Groceries,fake_creditcard_1,2024-03,2024
2024-03-25,COSTCO GAS #0422,-28.94,Debit,Vehicle Services,fake_creditcard2,2024-03,2024
2024-03-26,UNITED AIRLINES,-177.61,Sale,Travel,fake_creditcard_1,2024-03,2024
2024-03-27,UBER TRIP,-19.52,Sale,Travel,fake_creditcard_1,2024-03,2024
2024-03-29,ACH Credit ACME CORP – PAYROLL,3481.5,Credit,Payroll,fake_checking_account,2024-03,2024
2024-03-31,BALSMIQ,-14.24,Sale,Shopping,fake_creditcard_1,2024-03,2024
2024-03-31,CARD SERVICE FEE,-5.63,Fee,Fees,fake_creditcard_1,2024-03,2024
2024-04-01,Rent Payment – Property Mgmt,-2314.99,Debit,Housing,fake_checking_account,2024-04,2024
2024-04-03,STARBUCKS,-6.47,Sale,Food & Drink,fake_creditcard_1,2024-04,2024
2024-04-05,Citibank Card Payment,-28.94,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-06,WHOLE FOODS MARKET #680,-79.24,Sale,Groceries,fake_creditcard_1,2024-04,2024
2024-04-08,Comcast Internet Service,-90.51,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-08,COSTCO GAS #0422,-68.29,Debit,Vehicle Services,fake_creditcard2,2024-04,2024
2024-04-08,SQ *LA TAQUERIA,-11.89,Sale,Food & Drink,fake_creditcard_1,2024-04,2024
2024-04-11,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-04,2024
2024-04-11,Target Store,-75.41,Debit,Shopping,fake_checking_account,2024-04,2024
2024-04-12,ACH Credit ACME CORP – PAYROLL,3115.77,Credit,Payroll,fake_checking_account,2024-04,2024
2024-04-12,ACH Debit Netflix Subscription,-15.99,Debit,Entertainment,fake_checking_account,2024-04,2024
2024-04-13,APPLE.COM/BILL,-12.31,Sale,Subscriptions,fake_creditcard_1,2024-04,2024
2024-04-13,WHOLE FOODS MARKET #740,-58.61,Sale,Groceries,fake_creditcard_1,2024-04,2024
2024-04-13,AT&T Wireless Payment,-102.23,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-15,BARNES & NOBLE,-17.37,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-17,CVS Pharmacy,-27.4,Debit,Health,fake_checking_account,2024-04,2024
2024-04-17,HOTEL,-242.72,Sale,Travel,fake_creditcard_1,2024-04,2024
2024-04-17,CVS/PHARMACY,-29.32,Sale,Health,fake_creditcard_1,2024-04,2024
2024-04-17,ACH Debit Spotify,-10.99,Debit,Entertainment,fake_checking_account,2024-04,2024
2024-04-19,Apple iCloud Storage,-2.99,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-19,MUSEUM,-54.66,Sale,Entertainment,fake_creditcard_1,2024-04,2024
2024-04-21,AMAZON.COM ORDER 415198,-73.77,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-21,Chase Sapphire Payment,-787.38,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-21,Citibank Card Payment,-25.54,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-23,Electric Company Bill,-123.13,Debit,Utilities,fake_checking_account,2024-04,2024
2024-04-24,NIKE.COM,-128.1,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-24,Citibank Card Payment,-42.75,Debit,Credit Card Payment,fake_checking_account,2024-04,2024
2024-04-25,LULULEMON,-127.92,Sale,Shopping,fake_creditcard_1,2024-04,2024
2024-04-26,ACH Credit ACME CORP – PAYROLL,3425.25,Credit,Payroll,fake_checking_account,2024-04,2024
2024-04-27,DOORDASH RETURN,40.65,Refund,Food & Drink,fake_creditcard_1,2024-04,2024
2024-04-27,Target Store,-111.11,Debit,Shopping,fake_checking_account,2024-04,2024
2024-04-29,ATT*BILL PAYMENT 800-288-2020 TX,-107.99,Debit,Services,fake_creditcard2,2024-04,2024
2024-05-01,Rent Payment – Property Mgmt,-2380.44,Debit,Housing,fake_checking_account,2024-05,2024
2024-05-01,REI,-93.33,Sale,Shopping,fake_creditcard_1,2024-05,2024
2024-05-04,AIRBNB,-278.79,Sale,Travel,fake_creditcard_1,2024-05,2024
2024-05-04,INSTACART,-64.03,Sale,Groceries,fake_creditcard_1,2024-05,2024
