Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/01/2024,01/04/2024,CARD SERVICE FEE,Fees,Fee,-10.94,
01/05/2024,01/09/2024,SQ *THE BOUNCE PLACE,Entertainment,Sale,-28.96,
01/09/2024,01/09/2024,SQ *LA TAQUERIA,Food & Drink,Sale,-8.29,
01/17/2024,01/19/2024,TRADER JOE'S #862,Groceries,Sale,-67.67,
01/21/2024,01/22/2024,REI RETURN,Shopping,Refund,96.46,Refund/return
01/24/2024,01/25/2024,BARNES & NOBLE,Shopping,Sale,-35.57,
01/25/2024,01/26/2024,MUSEUM,Entertainment,Sale,-19.89,
01/25/2024,01/26/2024,STARBUCKS,Food & Drink,Sale,-7.34,
01/31/2024,02/03/2024,UNITED AIRLINES,Travel,Sale,-270.95,
02/05/2024,02/07/2024,AMAZON.COM ORDER 926367,Shopping,Sale,-72.86,
02/07/2024,02/08/2024,UNITED AIRLINES,Travel,Sale,-324.60,
02/07/2024,02/09/2024,WHOLE FOODS MARKET #239,Groceries,Sale,-66.00,
02/10/2024,02/11/2024,CONCERT VENUE,Entertainment,Sale,-110.94,
02/10/2024,02/11/2024,SWEETGREEN,Food & Drink,Sale,-22.34,
02/13/2024,02/15/2024,LULULEMON,Shopping,Sale,-174.69,
02/24/2024,02/27/2024,APPLE.COM/BILL,Subscriptions,Sale,-9.41,
02/25/2024,02/28/2024,GOOGLE *YOUTUBE,Subscriptions,Sale,-14.99,
02/28/2024,03/01/2024,NIKE.COM,Shopping,Sale,-83.02,
02/29/2024,03/01/2024,REI RETURN,Shopping,Refund,53.42,Refund/return
03/02/2024,03/05/2024,SQ *LA TAQUERIA,Food & Drink,Sale,-11.81,
03/02/2024,03/05/2024,NETFLIX.COM,Subscriptions,Sale,-15.99,
03/03/2024,03/06/2024,CVS/PHARMACY,Health,Sale,-27.58,
03/03/2024,03/03/2024,NIKE.COM,Shopping,Sale,-85.39,
03/05/2024,03/09/2024,CVS/PHARMACY,Health,Sale,-29.57,
03/08/2024,03/09/2024,AMC THEATRES,Entertainment,Sale,-33.78,
03/11/2024,03/15/2024,INSTACART,Groceries,Sale,-103.22,
03/17/2024,03/19/2024,REI,Shopping,Sale,-98.19,
03/21/2024,03/24/2024,SQ *THE BOUNCE PLACE,Entertainment,Sale,-29.96,
03/21/2024,03/24/2024,SWEETGREEN,Food & Drink,Sale,-21.38,
03/23/2024,03/26/2024,INSTACART,Groceries,Sale,-94.88,
03/23/2024,03/27/2024,GOOGLE *YOUTUBE,Subscriptions,Sale,-18.63,
03/26/2024,03/26/2024,UNITED AIRLINES,Travel,Sale,-177.61,
03/27/2024,03/28/2024,UBER TRIP,Travel,Sale,-19.52,
03/31/2024,03/31/2024,BALSMIQ,Shopping,Sale,-14.24,
03/31/2024,04/02/2024,CARD SERVICE FEE,Fees,Fee,-5.63,
04/03/2024,04/04/2024,STARBUCKS,Food & Drink,Sale,-6.47,
04/06/2024,04/09/2024,WHOLE FOODS MARKET #680,Groceries,Sale,-79.24,
04/08/2024,04/09/2024,SQ *LA TAQUERIA,Food & Drink,Sale,-11.89,
04/11/2024,04/14/2024,SPOTIFY,Subscriptions,Sale,-10.99,
04/13/2024,04/14/2024,APPLE.COM/BILL,Subscriptions,Sale,-12.31,
04/13/2024,04/15/2024,WHOLE FOODS MARKET #740,Groceries,Sale,-58.61,
04/15/2024,04/18/2024,BARNES & NOBLE,Shopping,Sale,-17.37,
04/17/2024,04/18/2024,CVS/PHARMACY,Health,Sale,-29.32,
04/17/2024,04/18/2024,HOTEL,Travel,Sale,-242.72,
04/19/2024,04/21/2024,MUSEUM,Entertainment,Sale,-54.66,
04/21/2024,04/23/2024,AMAZON.COM ORDER 415198,Shopping,Sale,-73.77,
04/24/2024,04/28/2024,NIKE.COM,Shopping,Sale,-128.10,
04/25/2024,04/28/2024,LULULEMON,Shopping,Sale,-127.92,
04/27/2024,04/30/2024,DOORDASH RETURN,Food & Drink,Refund,40.65,Refund/return
05/01/2024,05/03/2024,REI,Shopping,Sale,-93.33,
05/04/2024,05/07/2024,AIRBNB,Travel,Sale,-278.79,
05/04/2024,05/04/2024,INSTACART,Groceries,Sale,-64.03,
05/08/2024,05/08/2024,CONCERT VENUE,Entertainment,Sale,-158.85,
05/15/2024,05/19/2024,NIKE.COM,Shopping,Sale,-117.28,
05/15/2024,05/18/2024,CHIPOTLE,Food & Drink,Sale,-18.87,
05/20/2024,05/22/2024,WALGREENS,Health,Sale,-42.50,
05/20/2024,05/24/2024,SPOTIFY,Subscriptions,Sale,-10.99,
05/24/2024,05/25/2024,SQ *THE BOUNCE PLACE,Entertainment,Sale,-21.68,
05/26/2024,05/27/2024,SQ *THE BOUNCE PLACE,Entertainment,Sale,-29.91,
05/28/2024,05/29/2024,DOORDASH,Food & Drink,Sale,-45.98,
05/30/2024,06/01/2024,LULULEMON,Shopping,Sale,-92.34,
05/30/2024,06/01/2024,WALGREENS,Health,Sale,-22.67,
